state_code,district,party,name,gender,ethnicity,religion,date_of_birth,entered_office
AK,,republican,Don Young,male,white-american,episcopalian,1933-06-09,1973-01-03
AL,1,republican,Bradley Byrne,male,white-american,episcopalian,1955-02-16,2014-01-08
AL,2,republican,Martha Roby,female,white-american,presbyterian,1976-07-27,2011-01-05
AL,3,republican,Mike Rogers,male,white-american,baptist,1958-07-16,2003-01-07
AL,4,republican,Robert Aderholt,male,white-american,congregationalist,1965-07-22,1997-01-07
AL,5,republican,Mo Brooks,male,white-american,christian,1954-04-29,2011-01-05
AL,6,republican,Gary Palmer,male,white-american,christian,1954-05-14,2015-01-06
AL,7,democrat,Terri Sewell,female,african-american,protestant,1965-01-01,2011-01-05
AR,1,republican,Rick Crawford,male,white-american,southern-baptist,1966-01-22,2011-01-05
AR,2,republican,French Hill,male,white-american,roman-catholic,1956-12-05,2015-01-06
AR,3,republican,Steve Womack,male,white-american,southern-baptist,1957-02-18,2011-01-05
AR,4,republican,Bruce Westerman,male,white-american,southern-baptist,1967-11-18,2015-01-06
AZ,1,democrat,Tom O'Halleran,male,white-american,roman-catholic,1946-01-24,2017-01-03
AZ,2,democrat,Ann Kirkpatrick,female,white-american,unspecified,1950-03-24,2019-01-03
AZ,3,democrat,Raul Grijalva,male,hispanic-american,roman-catholic,1948-02-19,2003-01-07
AZ,4,republican,Paul Gosar,male,white-american,roman-catholic,1958-11-22,2011-01-05
AZ,5,republican,Andy Biggs,male,white-american,mormon,1958-11-07,2017-01-03
AZ,6,republican,David Schweikert,male,white-american,roman-catholic,1962-03-03,2011-01-05
AZ,7,democrat,Ruben Gallego,male,hispanic-american,roman-catholic,1979-11-20,2015-01-06
AZ,8,republican,Debbie  Lesko,female,white-american,unspecified,1958-11-14,2018-05-07
AZ,9,democrat,Greg Stanton,male,white-american,unspecified,1970-03-08,2019-01-03
CA,1,republican,Doug LaMalfa,male,white-american,christian,1960-07-02,2013-01-03
CA,2,democrat,Jared Huffman,male,white-american,unspecified,1964-02-18,2013-01-03
CA,3,democrat,John Garamendi,male,white-american,roman-catholic,1945-01-24,2009-11-03
CA,4,republican,Tom McClintock,male,white-american,baptist,1956-07-10,2009-01-06
CA,5,democrat,Mike Thompson,male,white-american,roman-catholic,1951-01-24,1999-01-06
CA,6,democrat,Doris Matsui,female,asian-american,methodist,1944-09-25,2005-03-10
CA,7,democrat,Ami Bera,male,asian-american,unitarian-universalist,1965-03-02,2013-01-03
CA,8,republican,Paul Cook,male,white-american,roman-catholic,1943-03-03,2013-01-03
CA,9,democrat,Jerry McNerney,male,white-american,roman-catholic,1951-06-18,2007-01-04
CA,10,democrat,Josh Harder,male,white-american,unspecified,1986-08-01,2019-01-03
CA,11,democrat,Mark DeSaulnier,male,white-american,roman-catholic,1952-03-31,2015-01-06
CA,12,democrat,Nancy Pelosi,female,white-american,roman-catholic,1940-03-26,1987-01-06
CA,13,democrat,Barbara Lee,female,african-american,baptist,1946-07-16,1998-04-07
CA,14,democrat,Jackie Speier,female,white-american,roman-catholic,1950-05-14,2008-04-08
CA,15,democrat,Eric Swalwell,male,white-american,christian,1980-11-16,2013-01-03
CA,16,democrat,Jim Costa,male,white-american,roman-catholic,1952-04-13,2005-01-04
CA,17,democrat,Ro Khanna,male,asian-american,hindu,1976-09-13,2017-01-03
CA,18,democrat,Anna Eshoo,female,white-american,roman-catholic,1942-12-13,1993-01-05
CA,19,democrat,Zoe Lofgren,female,white-american,lutheran,1947-12-21,1995-01-04
CA,20,democrat,Jimmy Panetta,male,white-american,roman-catholic,1969-10-01,2017-01-03
CA,21,democrat,TJ Cox,male,white-american,unspecified,1963-07-18,2019-01-03
CA,22,republican,Devin Nunes,male,white-american,roman-catholic,1973-10-01,2003-01-07
CA,23,republican,Kevin McCarthy,male,white-american,baptist,1965-01-26,2007-01-04
CA,24,democrat,Salud Carbajal,male,hispanic-american,roman-catholic,1964-11-18,2017-01-03
CA,26,democrat,Julia Brownley,female,white-american,episcopalian,1952-08-28,2013-01-03
CA,27,democrat,Judy Chu,female,asian-american,baptist,1953-07-07,2009-07-16
CA,28,democrat,Adam Schiff,male,white-american,jewish,1960-06-22,2001-01-03
CA,25,democrat,Katie Hill,female,white-american,unspecified,1987-08-25,2019-01-03
CA,30,democrat,Brad Sherman,male,white-american,jewish,1954-10-24,1997-01-07
CA,29,democrat,Tony Cardenas,male,hispanic-american,christian,1963-03-31,2013-01-03
CA,31,democrat,Pete Aguilar,male,hispanic-american,roman-catholic,1979-06-19,2015-01-06
CA,32,democrat,Grace Napolitano,female,hispanic-american,roman-catholic,1936-12-04,1999-01-06
CA,33,democrat,Ted Lieu,male,asian-american,roman-catholic,1969-03-29,2015-01-06
CA,34,democrat,Jimmy Gomez,male,hispanic-american,christian,1974-11-25,2017-07-11
CA,35,democrat,Norma Torres,female,hispanic-american,roman-catholic,1965-04-04,2015-01-06
CA,36,democrat,Raul Ruiz,male,hispanic-american,seventh-day-adventist-church,1972-08-25,2013-01-03
CA,37,democrat,Karen Bass,female,african-american,baptist,1953-10-03,2011-01-05
CA,38,democrat,Linda Sánchez,female,hispanic-american,roman-catholic,1969-01-28,2003-01-07
CA,39,democrat,Gilbert Cisneros,male,white-american,unspecified,1971-02-12,2019-01-03
CA,40,democrat,Lucille Roybal-Allard,female,hispanic-american,roman-catholic,1941-06-12,1993-01-05
CA,41,democrat,Mark Takano,male,asian-american,methodist,1960-12-10,2013-01-03
CA,42,republican,Ken Calvert,male,white-american,congregationalist,1953-06-08,1993-01-05
CA,43,democrat,Maxine Waters,female,african-american,christian,1938-08-15,1991-01-03
CA,44,democrat,Nanette Barragan,female,hispanic-american,roman-catholic,1976-09-15,2017-01-03
CA,45,democrat,Katie Porter,female,white-american,unspecified,1974-01-03,2019-01-03
CA,46,democrat,Luis Correa,male,hispanic-american,roman-catholic,1958-01-24,2017-01-03
