state_code,party,name,gender,ethnicity,religion,date_of_birth,entered_office
AK,republican,Daniel Sullivan,male,white-american,roman-catholic,1964-11-13,2015-01-03
AK,republican,Lisa Murkowski,female,white-american,roman-catholic,1957-05-22,2002-12-20
AL,democrat,Gordon Jones,male,white-american,united-methodist,1954-05-04,2018-01-03
AL,republican,Richard  Shelby,male,white-american,presbyterian,1934-05-06,1987-01-03
AR,republican,John Boozman,male,white-american,southern-baptist,1950-12-10,2011-01-03
AR,republican,Tom Cotton,male,white-american,methodist,1977-05-13,2015-01-03
AZ,democrat,Kyrsten Sinema,female,white-american,unspecified,1976-07-12,2019-01-03
AZ,republican,Martha McSally,female,white-american,unspecified,1966-03-22,2019-01-03
CA,democrat,Dianne Feinstein,female,white-american,jewish,1933-06-22,1992-11-10
CA,democrat,Kamala Harris,female,asian-american,baptist,1964-10-20,2017-01-03
CO,republican,Cory Gardner,male,white-american,lutheran,1974-08-22,2015-01-03
CO,democrat,Michael  Bennet,male,white-american,unspecified,1964-11-28,2009-01-21
CT,democrat,Christopher Murphy,male,white-american,protestant,1973-08-03,2013-01-03
CT,democrat,Richard Blumenthal,male,white-american,jewish,1946-02-13,2011-01-05
DE,democrat,Christopher Coons,male,white-american,presbyterian,1963-09-09,2010-11-15
DE,democrat,Thomas Carper,male,white-american,presbyterian,1947-01-23,2001-01-03
FL,republican,Rick Scott,male,white-american,unspecified,1952-12-01,2019-01-03
FL,republican,Marco Rubio,male,hispanic-american,roman-catholic,1971-05-28,2011-01-03
GA,republican,David Perdue,male,white-american,methodist,1949-12-10,2015-01-03
GA,republican,Johnny Isakson,male,white-american,methodist,1944-12-28,2005-01-03
HI,democrat,Brian Schatz,male,white-american,jewish,1972-10-20,2012-12-26
HI,democrat,Mazie Hirono,female,asian-american,buddhism,1947-11-03,2013-01-03
IA,republican,Joni Ernst,female,white-american,lutheran,1970-07-01,2015-01-03
IL,democrat,Richard Durbin,male,white-american,roman-catholic,1944-11-21,1997-01-03
ID,republican,James Risch,male,white-american,roman-catholic,1943-05-03,2009-01-03
IL,democrat,Tammy Duckworth,female,asian-american,deist,1968-03-12,2017-01-03
IN,republican,Todd Young,male,white-american,christian,1972-08-24,2017-01-03
KS,republican,Jerry Moran,male,white-american,methodist,1954-05-29,2011-01-03
KS,republican,Pat Roberts,male,white-american,methodist,1936-04-20,1997-01-03
KY,republican,Mitch McConnell,male,white-american,southern-baptist,1942-02-20,1985-01-03
KY,republican,Rand Paul,male,white-american,presbyterian,1963-01-07,2011-01-03
LA,republican,Bill Cassidy,male,white-american,christian,1957-09-28,2015-01-03
LA,republican,John Kennedy,male,white-american,methodist,1951-11-21,2017-01-03
MA,democrat,Edward Markey,male,white-american,roman-catholic,1946-11-11,2013-07-16
MA,democrat,Elizabeth Warren,female,white-american,methodist,1949-06-22,2013-01-03
MD,democrat,Benjamin Cardin,male,white-american,jewish,1943-10-05,2007-01-03
MD,democrat,Chris Van Hollen,male,white-american,episcopalian,1959-01-10,2017-01-03
ME,independent,Angus King,male,white-american,episcopalian,1944-03-31,2013-01-03
ME,republican,Susan Collins,female,white-american,roman-catholic,1952-12-07,1997-01-03
MI,democrat,Debbie Stabenow,female,white-american,methodist,1950-04-29,2001-01-03
MI,democrat,Gary Peters,male,white-american,episcopalian,1958-01-01,2015-01-03
MN,democrat,Tina Smith,female,white-american,unspecified,1958-03-04,2018-01-02
MN,democrat,Amy Klobuchar,female,white-american,congregationalist,1960-05-25,2007-01-03
MO,republican,Josh Hawley,male,white-american,unspecified,1979-12-31,2019-01-03
IN,republican,Mike Braun,male,white-american,unspecified,1954-03-24,2019-01-03
MS,republican,Roger Wicker,male,white-american,southern-baptist,1951-07-05,2007-12-31
MS,republican,Cindy Hyde-Smith,female,white-american,christian,1959-05-10,2018-04-09
IA,republican,Charles Grassley,male,white-american,baptist,1933-09-17,1981-01-03
MT,republican,Steve Daines,male,white-american,presbyterian,1962-08-20,2015-01-03
ID,republican,Mike Crapo,male,white-american,mormon,1951-05-20,1999-01-03
MO,republican,Roy Blunt,male,white-american,southern-baptist,1950-01-10,2011-01-03
ND,republican,Kevin Cramer,male,white-american,unspecified,1961-01-21,2019-01-03
ND,republican,John Hoeven,male,white-american,roman-catholic,1957-03-13,2011-01-03
MT,democrat,Jon Tester,male,white-american,church-of-god,1956-08-21,2007-01-03
NC,republican,Richard Burr,male,white-american,methodist,1955-11-30,2005-01-03
NC,republican,Thom Tillis,male,white-american,roman-catholic,1960-08-30,2015-01-03
NE,republican,Ben Sasse,male,white-american,evangelical-lutheran,1972-02-22,2015-01-03
NE,republican,Deb Fischer,female,white-american,presbyterian,1951-03-01,2013-01-03
NH,democrat,Jeanne Shaheen,female,white-american,protestant,1947-01-28,2009-01-03
NH,democrat,Margaret Hassan,female,white-american,united-church-of-christ,1958-02-27,2017-01-03
NJ,democrat,Cory Booker,male,african-american,roman-catholic,1969-04-27,2013-10-31
NJ,democrat,Robert Menendez,male,hispanic-american,christian,1954-01-01,2006-01-18
NM,democrat,Martin Heinrich,male,white-american,lutheran,1971-10-17,2013-01-03
NM,democrat,Tom Udall,male,white-american,mormon,1948-05-18,2009-01-03
NV,democrat,Catherine Cortez-Masto,female,hispanic-american,roman-catholic,1964-03-29,2017-01-03
NV,democrat,Jacky Rosen,female,white-american,unspecified,1957-08-02,2019-01-03
NY,democrat,Charles Schumer,male,white-american,jewish,1950-11-23,1999-01-03
NY,democrat,Kirsten Gillibrand,female,white-american,roman-catholic,1966-12-09,2009-01-26
OH,republican,Rob Portman,male,white-american,methodist,1955-12-19,2011-01-03
OH,democrat,Sherrod Brown,male,white-american,lutheran,1952-11-09,2007-01-03
OK,republican,James Inhofe,male,white-american,southern-baptist,1934-11-17,1994-11-17
OK,republican,James Lankford,male,white-american,presbyterian,1968-03-04,2015-01-03
OR,democrat,Jeff Merkley,male,white-american,lutheran,1956-10-24,2009-01-03
OR,democrat,Ron Wyden,male,white-american,jewish,1949-05-03,1996-02-06
PA,republican,Patrick Toomey,male,white-american,roman-catholic,1961-11-17,2011-01-03
PA,democrat,Robert Casey,male,white-american,roman-catholic,1960-04-13,2007-01-03
RI,democrat,Jack Reed,male,white-american,roman-catholic,1949-11-12,1997-01-03
RI,democrat,Sheldon Whitehouse,male,white-american,episcopalian,1955-10-20,2007-01-03
SC,republican,Lindsey Graham,male,white-american,southern-baptist,1955-07-09,2003-01-03
SC,republican,Tim Scott,male,african-american,evangelical,1965-09-19,2013-01-02
SD,republican,John Thune,male,white-american,evangelical,1961-01-07,2005-01-03
SD,republican,Mike Rounds,male,white-american,roman-catholic,1954-10-24,2015-01-03
TN,republican,Marsha Blackburn,female,white-american,unspecified,1952-06-06,2019-01-03
